ID,patent_title,patent_year,patent_abstract,label
306,"Vibrio cholerae 01 (CVD111) and non-01 (CVD112 and CVD112RM) serogroup vaccine strains, methods of making same and products thereof",1999,"Avirulent Vibrio cholerae strains of O1 (CVD111) and non-O1 (CVD112 and CVD112RM) serogroups having the DNA of the cholera toxin core and the RS1 sequences of the cholera toxin locus deleted, and further having a DNA encoding a resistance to mercury, and a DNA encoding the cholera toxin B subunit, or a part thereof sufficient to confer immunogenicity, re-inserted in the chromosome. Methods of making the avirulent V. cholerae O1 and non-O1 strains of the invention, and cholera vaccines using these strains.",True
307,Leader sequence inducing a post-translational modification of polypeptides in bacteria gene therefor and subtilin variant of enhanced stability and activity,1999,"The method by which polypeptides having residues other than the 20 common amino acids are made is established. A leader peptide sequence (SEQ ID NO: 7) and its gene are identified which induce or assist post-translational modifications of Cys, Thr and Ser in prokaryotes. The leader sequence may be used to induce the presence of covalent bonding sites in polypeptides and can be expressed by either naturally occurring or artificial means. Further, a subtilin mutant substituting isoleucine for Glu.sub.4 of the native sequence exhibits a 57-fold improvement in stability, resisting modification of the dehydroalanine residue at position 5. This stable mutant exhibits 3-4 times the specific activity, in suppression of bacterial spore outgrowth, of the native bacteriocin. A method for site-specific mutagenesis, as well as the resulting mutant gene, plasmid and transformant is similarly set forth.",True
308,Method for increasing the hydrolytic activity of starch hyrdolases,1999,A method for increasing the catalytic rate of starch hydrolases comprising reacting a starch hydrolase with a substrate therefor in the presence of about 0.001 to 80% (w/v) of an ethylene glycol or polyethylene glycol.,False
309,Apparatus for microscopic imaging of electrical and magnetic properties of room-temperature objects,1999,"A cryogenic apparatus for microscopy of physical properties of an object including a thin, stiff, transparent substrate or window within the outer wall of the vacuum space of a dewar and a cryogenic sensor within the vacuum space and spaced very close distances to the window. This construction allows for positioning a sample for measurement outside of the vacuum space, at room temperature or higher and for microscopy of physical properties of the sample by monitoring the output from the cryogenic sensor as it is scanned along the surface of the sample.",False
310,Near-field scanning microwave microscope having a transmission line with an open end,1999,"The microscope includes a microwave generator connected to a mismatched transmission line which terminates in a probe with an exposed end. When a sample is brought into close proximity with the exposed end of the probe, the frequencies and quality factors of the standing wave resonances on the transmission line between the source and the probe are modified. The microwave signal reflected from the end of the probe varies as the capacitance between the probe and the sample changes and as the conductivity of the sample changes. Scanning the sample relative to the probe allows generation of an image from the variation of the reflected signal. Alternatively, to image a device with the microscope, a microwave signal is applied to the device, the probe is scanned over the device, and the signal that is picked up is recorded. In a second embodiment, a first lock-in amplifier is used to lock in the microscope at the resonant frequency, and a second lock-in amplifier is used to detect a curvature of the resonance.",False
311,One-step method and preparation for reducing dentinal hypersensitivity,1999,"A highly acidic oxalate ion-containing preparation, which includes a neuroactive substance, for reducing tooth hypersensitivity, and a method for using same are disclosed.",True
312,Dosage composition for nasal delivery and method of use of the same,1999,"A nasal dosage composition for nasal delivery comprising (A) a therapeutic agent; and (B) zonula occludens toxin, as well as a method for the use of the same.",True
313,Zonula occludens toxin receptors,1999,"Receptors for the zonula occludens toxin of Vibrio cholera, as well as methods involving the use of the same are disclosed.",True
314,"Leader sequence inducing a post-translational modification of polypeptides in bacteria, gene therefor, and subtilin variant of enhanced stability and activity",1999,"The method by which polypeptides having residues other than the 20 common amino acids are made is established. A leader peptide sequence and its gene are identified which induce or assist post-translational modifications of Cys, Thr and Ser in prokaryotes. The leader sequence may be used to induce the presence of covalent bonding sites in polypeptides and can be expressed by either naturally occurring or artificial means. Further, a subtilin mutant substituting isoleucine for Glu.sub.4 of the native sequence exhibits a 57-fold improvement in stability, resisting modification of the dehydroalanine residue at position 5. This stable mutant exhibits 3-4 times the specific activity, in suppression of bacterial spore outgrowth, of the native bacteriocin. A method for site-specific mutagenesis, as well as the resulting mutant gene, plasmid and transformant is similarly set forth.",True
315,"Cutting tools for drilling concrete, aggregate, masonry or the like materials",1999,"A cutting tool (500) has a longitudinally extending shaft portion (588) with a chucking part (509) and a cutting head (506). A pressed powder cutting insert (518) with a cutting edge (520) is on the cutting head (506). The cutting edge (520) includes at least one cutting portion. A rake surface (524) is formed adjacent to at least one of the cutting portions (520) with the rake face (524) being at a rake angle from about 0.degree. to 10.degree.. A clearance face (526) is formed adjacent to the at least one cutting portion opposite the rake face (524). The clearance face (526) is at a clearance angle from about 10.degree. to 50.degree.. An edge radius (540) between the rake face (524) and the clearance face (526) is at a radius of from about 0.0015 to about 0.004 inch. The edge radius 540 is formed during pressing of the powder to form the insert, thus, enabling the insert to be directly braised into the cutting head (506).",False
316,Thermotolerance enhancing protein,1999,""" All organisms respond to elevated temperature by specifically inducing the expression of a set of new proteins; the """"heat shock proteins"""" or """"Hsps."""" Although this response has been known for over thirty years, the specific role of individual heat shock proteins in the overall response is still largely unknown. All organisms have a basal level of thermotolerance--an organism-specific temperature threshold above which they die. The advantage to increased thermotolerance in a plant is clear--increased thermotolerance improves crop yield in particularly hot growing seasons, and expands the geographic area where a particular crop can be grown. The present invention provides a method of increasing thermotolerance in plants comprising transforming plant cells with a vector which over-expresses the carrot Hsp17.7 gene. This is the first demonstration of enhancement of plant thermotolerance through the over-expression of a low molecular weight heat shock protein. Additionally, the fact that the enhanced thermotolerance effect can be transferred from one species (carrot) to a completely unrelated species (tomato) is highly significant, as it demonstrates that this gene construct is able to confer enhanced thermotolerance to a wide range of plant species. """,True
317,Drug delivery device and method for employing the same,1999,"A drug delivery device comprising a single phase matrix of a rigid polymer and a flexible polymer, useful for sustained release of a pharmaceutically active ingredient, as well as a method for employing the same, are disclosed.",True
318,Method of diagnosing human granulocytic Ehrlichiosis,1999,"Methods for the in vitro cultivation, propagation, and production of antigens of Ehrlichia phagocytophila genogroup granulocytic Ehrlichiae, including Ehrlichia equi, in Ixodes scapularis tick cell culture and in human HL60 promyelocytic leukemia cell culture.",True
319,"Method for phytomining of nickel, cobalt and other metals from soil",1999,"Nickel/cobalt, as well as platinum and palladium metal family members are recovered from soil by growing Brassicaceae plants, specifically Alyssum in soil containing nickel/cobalt as well as other metals. The soil is conditioned by maintaining a low pH, low calcium concentration, and the addition of ammonium fertilizer and chelating agents thereto. Nickel accumulation on the order of 2.5 percent or better in above-ground tissues is achieved, which permits recovery of the metal by harvesting the above-ground plant materials, drying, and then combusting the same, to oxidize or vaporize organic materials and recover the metals sequestered therein at 10-20 fold higher concentrations than in the soil, in a form which can be used in conventional Ni refinery or smelting operations.",False
320,"Substantially pure zonulin, a physiological modulator of mammalian tight junctions",1999,""" A substantially pure mammalian protein, hereinafter """"zonulin"""", that is a physiological modulator of mammalian tight junctions is disclosed, as well as methods for the use of the same. """,True
321,Use of matrices comprising liquids and light absorbing particles for analysis of microorganisms by laser desorption mass spectrometry,1999,"The present invention is directed to a method of using a liquid matrix containing a black body light absorbing powder to facilitate the analysis of biomarkers from representative microorganisms by laser desorption mass spectrometry. Both an IR laser (1064 nm) and a UV laser (337 nm) were shown to be compatible and both time-of-flight and Fourier-transform mass analyzer were used. In the present implementation gram negative and gram positive bacteria were suspended in a methanol:chloroform solution and added to a cobalt/glycerol matrix, S/N, sensitivity and sampling time are greatly enhanced for polar lipid biomarkers.",False
322,Zonula occludens toxic receptor,1999,"Receptors for the zonula occludens toxin of Vibrio cholera, as well as methods involving the use of the same are disclosed.",True
323,"Method of growing granulocytic ehrlichiae of the Ehrlichia phagocytophila genogroup in promyelocytic leukemia cell culture, and preparing antigens and vaccines of said granulocytic ehrlichiae",1999,"Methods for the in vitro cultivation, propagation, and production of antigens of Ehrlichia phagocytophila genogroup granulocytic Ehrlichia species, including Ehrlichia equi and the agent of human granulocytic ehrlichiosis in promyelocytic leukemia cell cultures, such as HL60 and KG-1 cell lines.",True
324,Dual media laser with mode locking,1999,"In a two laser media, Nd:phosphate glass and Nd:YLF are combined into a single laser. Generally, one broad band inhomogeneously broadened material and one narrow band homogeneously broadened material, with the two materials having overlapping center wavelengths are suitable.) The phase coherence property of Nd:YLF facilitates the initial formation of a coherent pulse. The broadband property of Nd:phosphate glass supports the generation of ultrashort laser pulse. Thus, this mode-locked hybrid Nd laser generates ultrashort coherent pulses more easily and reliably.",False
325,Method and composition for protecting against jellyfish stings,1999,"The present invention is directed towards a method, a composition and an article of manufacture for protecting the skin from jellyfish stings. The method comprises topically contacting the skin with a composition containing polymeric quaternary ammonium salt in amounts sufficient to protect against the rupture of jellyfish nematocysts. The composition can be in the form of an emulsion, liquid dispersion, solution, skin cream, face cream, lotion or ointment.",True
326,Antiproliferative factor from patients with interstitial cystitis,1999,"A novel antiproliferative factor (APF) present in urine of patients with interstitial cystitis (IC) is described. This urine antiproliferative factor can serve as a marker for disease activity and its antagonists as therapeutic medicaments for IC. In addition, APF and its agonists can be used for treating diseases associated with cell proliferation.",True
327,Herpes simplex virus type specific seroassay,1999,"A recombinant virus (ICP10.DELTA.RR) has been developed which is useful in a Western blot assay to specifically detect antibody to HSV-2, even the presence of co-existing antibody to HSV-1.",True
328,Competitive inhibitors of glyoxalase I and method of generating such competitive inhibitors inside tumor cells,1999,"The present invention provides a compound having the structure ##STR1## wherein S* is S.dbd.O or O.dbd.S.dbd.O; and wherein R.sub.1 is selected from the group consisting of (C.sub.1 -C.sub.9) alkyl, (C.sub.3 -C.sub.8) cycloalkyl, (C.sub.5 -C.sub.7) cycloalkenyl, and (C.sub.6 -C.sub.20) aryl substituted with halogen or (C.sub.1 -C.sub.18) alkyl; and wherein R.sub.2 is selected from the group consisting of alkyl, (C.sub.1 -C.sub.9) alkyl, (C.sub.3 -C.sub.8) cycloalkyl, (C.sub.5 -C.sub.7) cycloalkenyl, and (C.sub.6 -C.sub.20) aryl substituted with halogen or (C.sub.1 -C.sub.18) alkyl. Also provided are various methods of using the compositions of the present invention.",True
329,Use of biologically active glass as a drug delivery system,1999,"This invention relates to a synthetic bone replacement material impregnated with drugs such as antibiotics and growth hormones, which facilitate and promote the regeneration of bone and/or soft tissue. Methods for making the impregnated material and its medical use are also taught.",False
330,Androgen synthesis inhibitors,1999,"This invention relates to novel inhibitors of androgen synthesis that are useful in the treatment of prostate cancer and benign prostatic hypertrophy. Novel compounds according to the present invention are steroid derivatives. These compounds are preferably substituted at the 17 position, with a heterocyclic or nonheterocyclic radical, for example, a 5-membered heterocyclic ring. The present invention also provides methods of synthesizing these novel compounds, pharmaceutical compositions containing these novel compounds, and methods of treating prostate cancer and benign prostatic hypertrophy using the androgen synthesis inhibitors of the present invention.",True
331,17-azolyl steroids useful as androgen synthesis inhibitors,1999,"Androgen synthesis inhibitors, as well as methods for the use of the same to reduce plasma levels of testosterone and/or dyhydrotestosterone, and to treat prostate cancer and benign prostatic hypertrophy, are disclosed.",True
332,Method of making non-pyrogenic lipopolysaccharide or A,1999,"The present invention provides gram-negative bacterial strains that produce substantially pure non-pyrogenic lipopolysaccharide or lipid A. The present invention also relates to a use of said strains for the preparation of non-pyrogenic DNA and use of the same for introducing endogenous or foreign genes into animal cells or animal tissue. Further, the present invention relates to a use of said strains for the preparation of non-pyrogenic recombinant mammalian, protozoan and viral proteins. Furthermore, the present invention relates to a use of said strains for the preparation of non-pyrogenic bacterial vaccines and vaccine vectors. Yet a further use of the present invention relates to a use of said strains for the preparation of non-pyrogenic bacterial proteins and polysaccharide antigens for use as vaccines.",True
333,Polymerized hemoglobin,1999,"Stroma-free hemoglobin intermolecularly cross-linked, i.e., polymerized, so as to transform stroma-free hemoglobin into a physiologically competent oxygen carrier which is retained in vivo for adequate periods of time, and thus can be used in fluids for transporting oxygen is described.",True
334,Method and device for the detection and removal of head lice,1999,"A method and comb device for detection and removal of human head lice, and eventual elimination of the lice infestation, from infested individuals by sequential combing, with no use of pesticides. The comb device has six sides, three of the sides of the comb having sets of differently sized and spaced teeth so that hair can be detangled, first with the thick, widely spaced teeth on side (1), and then with the standard comb teeth on side (2), and then the thin, closely spaced teeth of the lice removal side (3) can be used to comb out lice. The method also be used to inspect for lice, with the capability of detecting lice at an earlier stage in an infestation than possible with the current, traditional inspection method (visual searching for nits or lice eggs.) Inspection can be used to screen individuals for lice (such as early in a school or camp term when all children are checked, or to detect if an infested child's family members also have lice), or it can be used to periodically monitor previously infested people to confirm that the lice have been eliminated.",False
335,Vaccine composition for herpes simplex virus and methods of using,2000,The present invention discloses a new vaccine composition for HSV-1 and HSV-2 comprising a whole live HSV-2 virus having the oncogene deleted. Methods of using the vaccine composition are also included.,True
336,"Chimeric infectious bursal disease virus cDNA clones, expression products and vaccines based thereon",2000,"Chimeric cDNA for the expression of immunogenic polypeptides include the genetic epitopic determinants for a base infectious bursal disease virus strain and at least one other infectious bursal disease virus strain. The genetic epitopic determinants encode amino acids or amino acid sequences which define epitopes bound to by previously established monoclonal antibodies. The immunogens expressed by the cDNA may be employed to provide a vaccine against a plurality of IBDV strains. The epitopic determinant of IBDV lethal strains has been detected, and an immunogen for conferring immunity with respect thereto is disclosed. Similarly, a monoclonal antibody specific for IBDV lethal strains is identified, and a vaccine for passive immunization therewith is also disclosed. Immunogens exhibiting conformational epitopes, in the form of virus-like particles, are effective in the preparation of vaccines.",True
337,Controlled solder interdiffusion for high power semiconductor laser diode die bonding,2000,A method and a resulting device for mounting a semiconductor to a submount by depositing a first layer of a first metal solder having a selected first melting point and corresponding thickness onto a surface of the semiconductor. Depositing a second layer of a second metal solder having a selected second melting point higher than the first melting point and a corresponding selected thickness onto a surface of the submount. Disposing the semiconductor surface and submount surface in confronting intimate contact and heating the submount and semiconductor to a temperature greater than the first temperature and lower that the second temperature for initiating and promoting liquid interdiffusion between the first and second solders.,False
338,Viral characterization by direct detection of capsid proteins,2000,"The present invention provides a method of direct detecting of capsid proteins from intact viral particles using matrix-assisted laser desorption/ionization (MALDI) time-of-flight mass spectrometry, which enables viral proteins to be characterized at the femtomolar level in complex biological milieu with minimal or no cleanup.",True
339,Vaccine composition for herpes simplex virus and method of using,2000,The present invention discloses a new immunogenic composition for Herpes Simplex comprising a whole live HSV-2 virus having the oncogene deleted. Methods of using the vaccine composition are also included.,True
340,Real time wavelength monitoring circuit,2000,A real time multi-channel wavelength monitoring circuit for monitoring Waveguide Division Multiplexing communications networks (WDM) is disclosed. The monitoring circuit monitors the full wavelength of an input signal by providing center offset inputs into a Phased Array Waveguide Grating (PAWG). By providing center offset inputs to a PAWG the passband crossover point can be changed optimizing a different dynamic range and wavelength resolution.,False
341,Method and apparatus for analyzing co-evolving time sequences,2000,""" An analyzer system that analyzes a plurality of co-evolving time sequences to, for example, perform correlation or outlier detection on the time sequences. The plurality of co-evolving time sequences comprise a delayed time sequence and one or more known time sequences. A goal is to predict the delayed value given the available information. The plurality of time sequences have a present value and (N-1) past values, where N is the number of samples (time-ticks) of each time sequence. The analyzer system receives the plurality of co-evolving time sequences and determines a window size (""""w""""). The analyzer then assigns the delayed time sequence as a dependent variable and the present value of a subset of the known time sequences, and the past values of the subset of known time sequences and the delayed time sequence, as a plurality of independent variables. Past values delayed by up to """"w"""" steps are considered. The analyzer then forms an equation comprising the dependent variable and the independent variables, and then solves the equation using a least squares method. The delayed time sequence is then determined using the solved equation. """,False
342,Simultaneous measurement of temperature and strain using optical sensors,2000,"Cascaded waveguide sensors with different sensitivities to temperature and strain produce independent temperature and strain measurements. In one embodiment a first sensor is formed of a first optical material having a corresponding first sensible thermomechanical response and a second sensor is formed of a second optical material having a corresponding second sensible thermomechanical response. The first and second thermomechanical responses are sufficiently different so as to produce independent temperature and strain measurements. Particular embodiments employ intrinsic or extrinsic Fabry-Perot interferometers (IFP, EFP),sensors, in-line fiber etalon (ILFE) sensor and a fiber-optic Bragg grating.",False
343,Laser-induced cutting of metal interconnect,2000,"An electrical interconnect includes a substrate having an insulating surface upon which is placed an electrically-conductive cut-link pad and a pair of electrically-conductive lines. The lines are bonded to the cut-link pad and are substantially more resistant to heat flow per unit length than is the cut-link pad. In a preferred embodiment, the thermal resistance per unit length of the cut-link pad is lowered by designing the pad such that its width is greater than the width of either of the lines. A method for cutting a circuit includes directing a laser upon the cut-link pad of an interconnect, as described above. The laser is maintained upon the pad until the cut-link pad is ablated, severing the circuit.",False
344,Assay for measuring the activity and fidelity of DNA replication and kit therefor,2000,"Mercuric ion is cytotoxic and mutagenic to cells. However, the mechanisms of mercuric ion-induced cytotoxicity are not well understood. Studies have suggested that these effects may be due in part to the alteration and inhibition of a variety of cellular processes including DNA replication, DNA repair, RNA transcription, and protein synthesis. However, prior art studies utilizing whole cells, cell extracts, or purified DNA polymerases to examine these activities are not able to specifically identify the precise mechanism or site of the effect or adequately represent the highly ordered environment in which DNA replication occurs in the intact cell. We disclose a novel method for measuring the activity and fidelity of DNA replication using the complex of proteins called the DNA synthesome, an isolated multiprotein form of DNA polymerase. The DNA synthesome is a highly organized complex of proteins capable of supporting all phases of SV 40 origin-specific DNA replication in vitro. The assay and kit described herein can be used both to examine the mechanism of cytotoxicity and mutagenicity and to identify compounds that alter the activity and fidelity of the DNA synthetic apparatus such as heavy metal ion, particularly mercuric ion. The assay and kit can be used to rapidly screen compounds for toxic activity.",True
345,Airflow perturbation device and method for measuring respiratory resistance,2000,"An airflow perturbation device and system wherein airflow of a subject is alternatingly blocked and unblocked by a mechanism to provide an output of an airflow/differential pressure conversion device based on oscillating differential pressure signals created by the alternating perturbation. The signals are provided by pressure transducers which provide signals to a data acquisition computer which calculates respiratory resistance as an indicator of airway resistance. An airflow perturbation device according to the invention could be a self-contained unit wherein the airflow perturbation mechanism, differential pressure conversion device, transducers, and data acquisition computer are in a single unit. In another embodiment, an airflow perturbation device could include the airflow perturbation mechanism and pressure transducers in a single unit, and provide transducer output to the data acquisition computer for calculation of respiratory resistance.",False
346,Anti-viral and immuno stimulator polynucleotide duplex and use thereof,2000,A method of treating HSV-2 infection which comprises administering to a host subject to said infection an effective amount of a polynucleotide of the formula polyrI.polyr(C.sub.12 U) where n is an integer from 4 to 29. The polynucleotide is advantageously administered intranasally.,True
347,Sequential ion implantation and deposition (SIID) technique,2000,"A surface of a substrate is vacuum coated with a material by sequentially implanting and depositing ions from a single ion source. First ions of the coating material are initially implanted into the surface of the substrate to form an implanted substrate layer. Next, second ions of the material are deposited on the implanted substrate layer to form a seed layer. Third ions of the material are then implanted into the seed layer to form an intermixed layer. Fourth ions of the material are deposited over the intermixed layer to form the coating over the substrate.",False
348,Method for detecting the presence of malignant cells using a multi-protein DNA replication complex,2000,""" We describe herein the isolation and purification of a multi-protein complex for DNA replication from MDA MB-468 human breast cancer cells as well as human breast tumor tissue and xenografts from nude mice injected with human breast cancer cell line MCF-7. This complex, designated the """"DNA synthesome"""", fully supports the in vitro replication of simian virus 40 (SV40) origin-containing DNA in the presence of the viral large T-antigen. Since the SV40 virus utilizes the host's cellular proteins for its own DNA replication, our results indicate that the DNA synthesome plays a role not only in viral DNA synthesis but in human breast cell DNA replication as well. Our studies demonstrate that the following DNA proteins are incorporated into the DNA synthesome: DNA polymerase .alpha., DNA primase, DNA polymerase .delta., proliferating cell nuclear antigen (PCNA), replication protein A (RP-A), replication protein C (RF-C), DNA topoisomerase I and II, and DNA polymerase .epsilon.. Furthermore, our results obtained from a forward mutagenesis assay suggest that DNA isolated from a non-malignant breast cell line mediates SV40 DNA replication by an error-resistant mechanism whereas the DNA synthesome derived from malignant breast cells and tissue exhibited a lower fidelity for DNA synthesis in vitro. Overall, our data support the role of the DNA synthesome as mediating breast cell DNA replication in vitro and in vivo, with continued characterization of the DNA synthesome providing important insight into the molecular mechanisms regulating breast cancer call DNA replication. """,True
349,Optical fiber evanescent field excited fluorosensor and method of manufacture,2000,"An optical fiber is tapered, preferably adiabatically, and has a material coated on it for chemical bonding with fluorophores. When the fluorophores couple with the material, evanescent radiation generated fibers causes the fluorophores to fluoresce, and the fluorescence is coupled back into the fiber.",False
350,DNA vaccines for eliciting a mucosal immune response,2000,"The invention consists of a method for inducing production of a mucosal immune response in a host by administration of an antigen-encoding polynucleotide preparation, comprising DNA or RNA encoding an antigenic epitope to a mucosal inductor site in the mucosal tissue of the host. Naked DNA may be administered directly to mucosa, for instance in saline drops, or in a recombinant gene expression vector. Preferably, the recombinant gene expression vectors are not capable of replication or dessimination. The invention also includes the use of live viral vaccines wherein the viruses include immunostimulatory polynucleotides of the invention. According to a preferred method of the invention, a target protein antigen is administered through its expression by a recombinant gene expression vector.",True
351,Methods and structures to cure the effects of hydrogen annealing on ferroelectric capacitors,2000,"A ferroelectric memory cell integrated with silicon circuitry which require a forming-gas anneal of the silicon circuitry after the ferroelectric stack has been formed. The ferroelectric layer may have a composition such that there is no space in the lattice of the ferroelectric phase to accommodate atomic hydrogen or have a composition with a Curie temperature below the temperature of the forming-gas anneal. Preferably, there is no upper platinum electrode, or it is deposited after the forming-gas anneal. A metal-oxide upper electrode serves as barrier to the forming-gas anneal, and an intermetallic layer positioned above the ferroelectric stack serves as an even better barrier. Forming-gas damage to the ferroelectric stack can be removed by a recovery anneal in a hydrogen-free environment, preferably performed at a temperature above the Curie temperature.",False
352,Computer-aided determination of window and level settings for filmless radiology,2000,"A window and level control tool that operates in real time and can quickly determine initial values for window and level settings such that a displayed image is always presented in a readable format is disclosed. The invention transforms input image data into an image histogram. This histogram is then segmented into a small number of parts corresponding to structures of interest. Segmentation of the histogram is done by a novel Viterbi optimal runlength-constrained approximation nonlinear filter. Window and level settings are calculated to correspond to this optimal segmentation. A readable image of one of the structures of interest is then displayed. In another embodiment, the tool provides a menu of optimal window and level settings corresponding to the different types of information a radiologist may be interested in.",False
353,Androgen synthesis inhibitors,2000,"This invention relates to novel inhibitors of androgen synthesis that are useful in the treatment of prostate cancer and benign prostatic hypertrophy. The present invention also provides methods of synthesizing these novel compounds, pharmaceutical compositions containing these novel compounds, and methods of treating prostate cancer and benign prostatic hypertrophy using the androgen synthesis inhibitors of the present invention.",True
354,Recombinant KAT enzyme and process for its preparation,2000,"Disclosed are isolated DNAs encoding a kynurenine aminotransferase selected from the group consisting of: (a) isolated DNA sequences which encode rat KAT; (b) an isolated DNA sequence which hybridizes to isolated DNA sequences of (a) above and which encodes a mammalian KAT enzyme; and (c) an isolated DNA sequence differing from the isolated DNA sequences of (a) and (b) above in codon sequence due to the degeneracy of the genetic code, and which encodes a KAT enzyme. Vectors and host cells containing the same, oligonucleotide probes for identifying kynurenine aminotransferase, and isolated and purified kynurenine aminotransferase are also disclosed.",True
355,Breakaway devices for stabilizing dental casts and method of use,2000,"A device for efficiently, accurately and consistently securing dental casts while an articulator is attached thereto includes a spine connecting a first stabilizing pad at one end to a second stabilizing pad at an opposite end. The device includes a breakaway feature which allows a connection between the casts to be broken with manual force. The first stabilizing pad and the second stabilizing pad are secured to maxillary and mandibular casts with an adhesive or the like, or by other methods such as magnets, to create a rigid connection between the accurately related maxillary and mandibular casts. The breakaway feature allows a technician to easily break the connection between the maxillary and mandibular casts with manual force after the articulator has been attached to the casts.",False
356,"Method for introducing and expressing genes in animal cells, and live invasive bacterial vectors for use in the same",2000,"A method for introducing and expressing genes in animal cells is disclosed comprising infecting said animal cells with live invasive bacteria, wherein said bacteria contain a eukaryotic expression cassette encoding said gene. The gene may encode, e.g., a vaccine antigen, an therapeutic agent, an immunoregulatory agent or a anti-sense RNA or a catalytic RNA.",True
357,"Lantibiotic mutants and chimeras of enhanced stability and activity, leader sequences therefor, genes encoding the same, and methods of producing and using the same",2000,"Nisin-subtilin mutant and chimeric prepeptides were constructed and expressed in a Bacillus subtilis strain that possesses all of the cellular machinery for making subtilin, except for the presubtilin gene. The chimera S.sub.L -Nis.sub.1-11 -Sub.sub.12-32 was prepared. The prepeptide has the subtilin leader sequence (S.sub.L), the N-terminal portion of the structural region was derived from nisin, and the C-terminal portion of the structural region derived from subtilin. This chimera was accurately and efficiently converted to the mature lantibiotic, as demonstrated by a variety of physical and biological activity assays. In contrast, a (S.sub.L -Sub.sub.1-11 -Nis.sub.12-34) chimera was processed into a heterogeneous mixture of products, none of which appeared to be the correct chimeric lantibiotic. The mixture did, however, contain an active minor component with a biological activity that exceeded nisin itself.",True
358,"Chimeric infectious bursal disease virus cDNA clones, expression products and vaccines based thereon",2000,"Chimeric cDNA for the expression of immunogenic polypeptides include the genetic epitopic determinants for a base infectious bursal disease virus strain and at least one other infectious bursal disease virus strain. The genetic epitopic determinants encode amino acids or amino acid sequences which define epitopes bound to by previously established monoclonal antibodies. The immunogens expressed by the cDNA may be employed to provide a vaccine against a plurality of IBDV strains. The epitopic determinant of IBDV lethal strains has been detected, and an immunogen for conferring immunity with respect thereto is disclosed. Similarly, a monoclonal antibody specific for IBDV lethal strains is identified, and a vaccine for passive immunization therewith is also disclosed. Immunogens exhibiting conformational epitopes, in the form of virus-like particles, are effective in the preparation of vaccines.",True
359,Heparin binding--epidermal growth factor-like growth factor in the diagnosis of Interstitial Cystitis,2000,"Interstitial cystitis (IC) is a chronic bladder disease for which the exact etiology is unknown and for which there is no reliably effective treatment. However, it is known that the bladder epithelium is often abnormal in IC. We discovered that normal, adult, human bladder epithelial cells are inhibited from proliferating by an anti-proliferative fact (APF) present in IC urine specimens. Inhibited proliferation may cause epthelial abnormalities characteristic of IC such as ulcerations and multiple tears in the bladder epithelium. We further discovered that levels of heparin binding--epidermal growth factor-like growth fact (HB-EGF), a factor known be important for epithelial cell proliferation and wound healing in other tissues, are abnormally low in the urine of patients suffering from IC as compared to asymptomatic controls or patients with acute bacterial cystitis. The invention herein is directed to the use of urine levels of HB-EGF as a diagnostic marker for IC.",True
360,Modification of seed crops with transcription factors,2000,"The present invention relates to an isolated transcription factor gene which is expressed in a maturing dicot seed and which encodes a transcription factor protein which targets a promoter of a gene encoding seed storage proteins. One group of such genes binds to 7S globulin (b-phaseolin) or lectin (PHA-L) promoters. Transcription factors identified as Pv Seed Factor-1 (PvSF1) and Vicilin-box Binding Protein-1 (VBP1) have been isolated. There is also disclosed a method for enhancing or reducing expression of seed storage protein, lectin or oil-protein genes in dicot seed crops comprising transforming a seed crop plant with the transcription factor gene of the invention.",True
361,"Cutting tools for drilling concrete, aggregate, masonry or the like materials",2001,"A cutting tool (200, 202) has a longitudinally extending shaft portion (208) with a chucking part (204) and a cutting head (206). A cutting edge (220) is formed on the cutting head (206). The cutting edge (220) includes at least one cutting portion. A rake surface (224) is formed adjacent to at least one of the cutting portions (220) with the rake face being at a rake angle in the range from about -10.degree. to about 10.degree.. A clearance face (226) is formed adjacent to the at least one cutting portion opposite the rake face (224). The clearance face (226) is at a clearance angle in the range from about 10.degree. to about 50.degree.. An edge radius between the rake face and the clearance face is at a radius of from about 0.0003 to about 0.0040 inch.",False
362,Vaccine delivery system,2001,"The invention relates to a hyperblebbing strain of Neisseria gonorrhoeae which produces large amounts of blebs useful for production of blebosomes containing antigens for use as a vaccine delivery vehicle or as a diagnostic reagent. The invention also relates to a method for producing high levels of a desired protein in purified form using the hyperblebbing strain of N. gonorrhoeae, and to a vaccine delivery systems containing the blebosomes expressing the desired antigen.",True
363,Method for diagnosing and treating chronic pelvic pain syndrome,2001,"The present invention provides a superior method of diagnosing Chronic Pelvic Pain Syndrome in men comprising measuring levels of cytokines in semen or components or fractions of semen. The invention also provides a method of treating a condition associated with elevated levels of a cytokine, such as TNF-.alpha., in semen or a component or fraction thereof, comprising administering a therapeutically effective amount of an ant-cytokine compound or composition, such as an anti-TNF-.alpha. compound or composition.",True
364,Attenuated mutants of salmonella which constitutively express the Vi antigen,2001,"Attenuated Salmonella mutants which constitutively express the Vi antigen are disclosed, as well as vaccines against typhoid fever containing the same, live vector vaccines containing the same, and DNA-mediated vaccines containing the same.",True
